key,units,period,geography,category,description,source
College graduation rate,%,2010-2014,Census Tract,Education,Residents 25 or older with at least a bachelor's degree: including professional degree but not Associate's degree,"American Community Survey, Table B15003"
Labor force participation,%,2010-2014,Census Tract,Economic,"Residents 16 and older who are currently employed, enlisted in the armed forces, or actively seeking employment","American Community Survey, Table B23025"
Unemployment,%,2010-2014,Census Tract,Economic,% of residents in the civilian labor force who are actively seeking employment,"American Community Survey, Table B23025"
Households with earnings,%,2010-2014,Census Tract,Economic,Households reporting earnings from any source over the past 12 months,"American Community Survey, Table B19051"
Household median income,$,2010-2014,Census Tract,Economic,"Includes households with no income, in 2014 dollars","American Community Survey, Table B19013"
Household mean income,$,2010-2014,Census Tract,Economic,"Includes households with no income, in 2014 dollars","American Community Survey, Table B19025"
Per capita income,$,2010-2014,Census Tract,Economic,In 2014 dollars,"American Community Survey, Table B19301"
Median earnings for workers,$,2010-2014,Census Tract,Economic,"full-time workers 16 years and older, in 2014 dollars","American Community Survey, Table B20002"
"Median earnings, male",$,2010-2014,Census Tract,Economic,"Male full-time workers 16 years and older, in 2014 dollars","American Community Survey, Table B20002"
"Median earnings, female",$,2010-2014,Census Tract,Economic,"Female full-time workers 16 years and older, in 2014 dollars","American Community Survey, Table B20002"
Female earnings differential,,2010-2014,Census Tract,Economic,Median female earnings as a percentage of median male earnings. Reported only where the differential is statistically significant at 90% confidence,"American Community Survey, Table B20002"
"Household median income, Black",$,2010-2014,Census Tract,Economic,Households with a householder who is Black or African American alone,"American Community Survey, Table B19013B"
"Household median income, Asian",$,2010-2014,Census Tract,Economic,Households with a householder who is Asian alone,"American Community Survey, Table B19013D"
"Household median income, Non-Hispanic White",$,2010-2014,Census Tract,Economic,"Households with a householder who is White alone, not Hispanic or Latino","American Community Survey, Table B19013H"
"Household median income, Hispanic",$,2010-2014,Census Tract,Economic,Households with a householder who is Hispanic or Latino,"American Community Survey, Table B19013I"
White-Black household income differential,,2010-2014,Census Tract,Economic,Median black household income as a percentage of the median nh white household income. Reported only where the differential is statistically significant at 90% confidence,"American Community Survey, Table B19013B/H"
White-Hispanic household income differential,,2010-2014,Census Tract,Economic,Median hispanic household income as a percentage of the median nh white household income. Reported only where the differential is statistically significant at 90% confidence,"American Community Survey, Table B19013H/I"
"Household median income, 5-year change",%,2005-2009 - 2010-2014,Census Tract,Economic,,"American Community Survey, Table B19013"
"Unemployment, 5-year change",Percentage points,2005-2009 - 2010-2014,Census Tract,Economic,Change in the percent of residents in the civilian labor force who are actively seeking employment,"American Community Survey, Table B23001"
Family households,% of households,2010-2014,Census Tract,Family Structure,Households consisting of one or more families.,"American Community Survey, Table B11001"
Female-headed family households,% of households,2010-2014,Census Tract,Family Structure,Households consisting of a family headed by a female (no male head of household present).,"American Community Survey, Table B11001"
Living alone,% of households,2010-2014,Census Tract,Family Structure,Households consisting of a single occupant.,"American Community Survey, Table B11001"
Average household size,,2010-2014,Census Tract,Family Structure,"A household is a group of individuals occupying the same housing unit, such as a family, a single occupant, or unrelated roommates.","American Community Survey, Table B25010"
Women 15-50 with recent birth,%,2010-2014,Census Tract,Family Structure,Percentage of women 15 to 50 years old who had a birth in the past 12 months,"American Community Survey, Table B13002"
% of births to unmarried women,%,2010-2014,Census Tract,Family Structure,As a percentage of all births (including divorced and widowed women),"American Community Survey, Table B13002"
Walk Score,,2016,Census Tract,Built Environment,"Walk Score is a number between 0 and 100 that measures the walkability of any address. Areas with a Walk Score of 70 or above are very walkable, while areas below 50 are car-dependent.",Redfin
Drive alone to work,%,2010-2014,Census Tract,Built Environment,"Percent of workers 16 and older who commute to work using a car, truck, or van (not including carpool)","American Community Survey, Table B08301"
Public transportation to work,% of workers 16 years and older,2010-2014,Census Tract,Built Environment,Percent of workers 16 and older who commute to work using public transportation,"American Community Survey, Table B08301"
Bike to work,% of workers 16 years and older,2010-2014,Census Tract,Built Environment,Percent of workers 16 and older who commute to work by bicycle,"American Community Survey, Table B08301"
Walk to work,% of workers 16 years and older,2010-2014,Census Tract,Built Environment,Percent of workers 16 and older who walk to work,"American Community Survey, Table B08301"
Mean travel time to work,Minutes,2010-2014,Census Tract,Built Environment,For workers 16 and over who do not work at home,"American Community Survey, Table B08135"
Occupied,%,2010-2014,Census Tract,Housing,Percent of housing units,"American Community Survey, Table B25002"
Vacant,%,2010-2014,Census Tract,Housing,Percent of housing units,"American Community Survey, Table B25002"
Single housing unit,% of housing units,2010-2014,Census Tract,Housing,Percent of housing units in single-unit structures,"American Community Survey, Table B25024"
2-4 housing units in building,% of housing units,2010-2014,Census Tract,Housing,Percent of housing units in structures with 2-4 units,"American Community Survey, Table B25024"
5+ housing units in building,% of housing units,2010-2014,Census Tract,Housing,Percent of housing units in structures with 5+ units,"American Community Survey, Table B25024"
Built 1979 or earlier,% of housing units,2010-2014,Census Tract,Housing,"Lead-based paint, which can cause severe developmental disorders in young children, was banned from use in new structures in 1978.","American Community Survey, Table B25034"
Built 1939 or earlier,% of housing units,2010-2014,Census Tract,Housing,,"American Community Survey, Table B25034"
Owner occupied,%,2010-2014,Census Tract,Housing,,"American Community Survey, Table B25003"
Renter occupied,%,2010-2014,Census Tract,Housing,,"American Community Survey, Table B25003"
Moved in before 1990,%,2010-2014,Census Tract,Housing,,"American Community Survey, Table B25038"
Utility gas heat,%,2010-2014,Census Tract,Housing,Percent of occupied housing units.,"American Community Survey, Table B25040"
Electric heat,%,2010-2014,Census Tract,Housing,Percent of occupied housing units.,"American Community Survey, Table B25040"
Combustion fuel heat,%,2010-2014,Census Tract,Housing,"Percent of occupied housing units. Includes wood, coal, coke, kerosene, and fuel oil","American Community Survey, Table B25040"
No heat,%,2010-2014,Census Tract,Housing,Percent of occupied housing units.,"American Community Survey, Table B25040"
Lacking complete plumbing,% of housing units,2010-2014,Census Tract,Housing,,"American Community Survey, Table B25047"
No telephone service,% of housing units,2010-2014,Census Tract,Housing,,"American Community Survey, Table B25043"
Median year structure built,,2010-2014,Census Tract,Housing,Values below 1939 are coded as 1939.,"American Community Survey, Table B25035"
Crowded housing,% of housing units,2010-2014,Census Tract,Housing,Percent of housing units with more than one occupant per room,"American Community Survey, Table B25014"
Median gross rent,$,2010-2014,Census Tract,Housing,"Values above $2,000 are coded as $2,000.","American Community Survey, Table B25064"
Median value,$,2010-2014,Census Tract,Housing,"Owner-occupied housing units, in 2014 dollars. Values above $1,000,000 are coded as $1,000,000.","American Community Survey, Table B25077"
Median selected monthly owner costs,$,2010-2014,Census Tract,Housing,"Owner-occupied housing units. Selected monthly owner costs include mortgage payments, real estate taxes, insurance, utilities, and building fees. Values over $4,000 have been coded as $4,000.","American Community Survey, Table B25088"
Housing units with mortgage,%,2010-2014,Census Tract,Housing,,"American Community Survey, Table B25087"
"Median value, 5-year change",%,2005-2009 - 2010-2014,Census Tract,Housing,Change in the median value of owner-occupied housing units.,"American Community Survey, Table B25077"
"Median gross rent, 5-year change",%,2005-2009 - 2010-2014,Census Tract,Housing,Change in the median gross rent,"American Community Survey, Table B25064"
Population (2010),,2010,Census Tract,Historic,,2010 Census Summary File
Household Median income (2005-2009),$,2005-2009,Census Tract,Historic,In 2014 dollars.,"American Community Survey, Table B19013"
Unemployment (2005-2009),% of labor force,2005-2009,Census Tract,Historic,Percent of residents in the civilian labor force who are actively seeking employment,"American Community Survey, Table B23001"
Median value (2005-2009),$,2005-2009,Census Tract,Historic,"Owner-occupied housing units, in 2014 dollars. Values above $1,000,000 are coded as $1,000,000.","American Community Survey, Table B25077"
Poverty rate (2005-2009),% of residents,2005-2009,Census Tract,Historic,"Individuals, past 12 months income","American Community Survey, Table B17001"
Child poverty rate (2005-2009),% of children <18,2005-2009,Census Tract,Historic,Past 12 months income,"American Community Survey, Table B17001"
Median gross rent (2005-2009),$,2005-2009,Census Tract,Historic,"In 2014 dollars; values above $2,000 are coded as $2,000.","American Community Survey, Table B25064"
