key,units,period,geography,category,description,source,technical notes
Per capita income,$,2010-2014,Census Tract,Economic,"In 2014 dollars, past 12 months","American Community Survey, Table B19301",
"Poverty rate, families",%,2010-2014,Census Tract,Economic,"Percent of all families in poverty, past 12 months income","American Community Survey, Table B17010",
"Poverty rate, families with children",%,2010-2014,Census Tract,Economic,"Percent of all families with children that are in poverty, past 12 months income","American Community Survey, Table B17010",
"Poverty rate, families with children <5",%,2010-2014,Census Tract,Economic,"Percent of all families with children <5 that are in poverty, past 12 months income","American Community Survey, Table B17010",
Poverty rate,% of residents,2010-2014,Census Tract,Economic,"Individuals in families that are in poverty, past 12 months income","American Community Survey, Table B17001",
Poverty rate <5,% of children <5,2010-2014,Census Tract,Economic,"Residents <5 years old in families that are in poverty, past 12 months income","American Community Survey, Table B17001",
Child poverty rate,%,2010-2014,Census Tract,Economic,"Residents <18 years old in families that are in poverty, past 12 months income","American Community Survey, Table B17001",
Working-age adult poverty rate,%,2010-2014,Census Tract,Economic,"Residents 18-64 years old in families that are in poverty, past 12 months income","American Community Survey, Table B17001",
Elderly poverty rate,%,2010-2014,Census Tract,Economic,"Residents 65+ years old in families that are in poverty, past 12 months income","American Community Survey, Table B17001",
"Poverty rate, 5-year change",Percentage points,2005-2009 - 2010-2014,Census Tract,Economic,Change in the percent of residents under the poverty level (past 12 months income),"American Community Survey, Table B17001",
"Child poverty rate, 5-year change",Percentage points,2005-2009 - 2010-2014,Census Tract,Economic,Change in the percent of residents under 18 living under the poverty level (past 12 months income),"American Community Survey, Table B17001",
Median earnings for workers,$,2010-2014,Census Tract,Economic,"full-time workers 16 years and older, in 2014 dollars","American Community Survey, Table B20002",
"Median earnings, male",$,2010-2014,Census Tract,Economic,"Male full-time workers 16 years and older, in 2014 dollars","American Community Survey, Table B20002",
"Median earnings, female",$,2010-2014,Census Tract,Economic,"Female full-time workers 16 years and older, in 2014 dollars","American Community Survey, Table B20002",
Female earnings differential,,2010-2014,Census Tract,Economic,Median female earnings as a percentage of median male earnings. Reported only where the differential is statistically significant at 90% confidence,"American Community Survey, Table B20002",
"Household median income, Black",$,2010-2014,Census Tract,Economic,Households with a householder who is Black or African American alone,"American Community Survey, Table B19013B",
"Household median income, Asian",$,2010-2014,Census Tract,Economic,Households with a householder who is Asian alone,"American Community Survey, Table B19013D",
"Household median income, Non-Hispanic White",$,2010-2014,Census Tract,Economic,"Households with a householder who is White alone, not Hispanic or Latino","American Community Survey, Table B19013H",
"Household median income, Hispanic",$,2010-2014,Census Tract,Economic,Households with a householder who is Hispanic or Latino,"American Community Survey, Table B19013I",
White-Black household income differential,,2010-2014,Census Tract,Economic,Median black household income as a percentage of the median nh white household income. Reported only where the differential is statistically significant at 90% confidence,"American Community Survey, Table B19013B/H",
White-Hispanic household income differential,,2010-2014,Census Tract,Economic,Median hispanic household income as a percentage of the median nh white household income. Reported only where the differential is statistically significant at 90% confidence,"American Community Survey, Table B19013H/I",
"Household median income, 5-year change",%,2005-2009 - 2010-2014,Census Tract,Economic,,"American Community Survey, Table B19013",
"Unemployment, 5-year change",Percentage points,2005-2009 - 2010-2014,Census Tract,Economic,Change in the percent of residents in the civilian labor force who are actively seeking employment,"American Community Survey, Table B23001",
Family households,% of households,2010-2014,Census Tract,Family Structure,Households consisting of one or more families.,"American Community Survey, Table B11001",
Female-headed family households,% of households,2010-2014,Census Tract,Family Structure,Households consisting of a family headed by a female (no male head of household present).,"American Community Survey, Table B11001",
Living alone,% of households,2010-2014,Census Tract,Family Structure,Households consisting of a single occupant.,"American Community Survey, Table B11001",
Average household size,,2010-2014,Census Tract,Family Structure,"A household is a group of individuals occupying the same housing unit, such as a family, a single occupant, or unrelated roommates.","American Community Survey, Table B25010",
Women 15-50 with recent birth,%,2010-2014,Census Tract,Family Structure,Percentage of women 15 to 50 years old who had a birth in the past 12 months,"American Community Survey, Table B13002",
% of births to unmarried women,%,2010-2014,Census Tract,Family Structure,As a percentage of all births (including divorced and widowed women),"American Community Survey, Table B13002",
Walk Score,,2016,Census Tract,Built Environment,"Walk Score is a number between 0 and 100 that measures the walkability of any address. Areas with a Walk Score of 70 or above are very walkable, while areas below 50 are car-dependent.",Redfin,
Drive alone to work,% of workers 16 years and older,2010-2014,Census Tract,Built Environment,"Percent of workers 16 and older who commute to work using a car, truck, or van (not including carpool)","American Community Survey, Table B08301",
Public transportation to work,% of workers 16 years and older,2010-2014,Census Tract,Built Environment,Percent of workers 16 and older who commute to work using public transportation,"American Community Survey, Table B08301",
Bike to work,% of workers 16 years and older,2010-2014,Census Tract,Built Environment,Percent of workers 16 and older who commute to work by bicycle,"American Community Survey, Table B08301",
Walk to work,% of workers 16 years and older,2010-2014,Census Tract,Built Environment,Percent of workers 16 and older who walk to work,"American Community Survey, Table B08301",
Mean travel time to work,Minutes,2010-2014,Census Tract,Built Environment,For workers 16 and over who do not work at home,"American Community Survey, Table B08135",
New construction permits,,2010-2015,Census Tract,Built Environment,,,
Licensed businesses,"per 1,000 residents","As of March 1, 2016",Census Tract,Built Environment,,,
Building violations,per 100 housing units,2010-2015,Census Tract,Built Environment,"Violations issued by the Department of Buildings, excluding requests to arrange for inspection. Most violations can be addressed with minor repairs, but a high number of violations can indicate dangerous conditions, building code scofflaws, or absentee landlords.","Chicago Department of Buildings, via Plenar.io",
311 graffiti removal calls,,2011-2015,Census Tract,Built Environment,,"Chicago 311, via Plenar.io",
Location Affordability Index (Housing + Transportation),% of family income,2008-2012,Census Tract,Built Environment,"The Location Affordability Index gives estimates of the percentage of a family's income dedicated to the combined cost of housing and transportation, for a typical single-parent family earning 50% of the regional median income. Methodology: http://www.locationaffordability.info/About_Data.aspx",Department of Housing and Urban Development / Department of Transportation,
Location Affordability Index (Housing only),% of family income,2008-2012,Census Tract,Built Environment,"The Location Affordability Index gives estimates of the percentage of a family's income dedicated to housing, for a typical single-parent family earning 50% of the regional median income. Methodology: http://www.locationaffordability.info/About_Data.aspx",Department of Housing and Urban Development / Department of Transportation,
Location Affordability Index (Transportation only),% of family income,2008-2012,Census Tract,Built Environment,"The Location Affordability Index gives estimates of the percentage of a family's income dedicated to transportation, for a typical single-parent family earning 50% of the regional median income. Methodology: http://www.locationaffordability.info/About_Data.aspx",Department of Housing and Urban Development / Department of Transportation,
Automobiles per household,,2008-2012,Census Tract,Built Environment,"Estimated, for a typical single-parent household earning 50% of the regional median income.",Department of Housing and Urban Development / Department of Transportation,
Annual vehicle miles traveled,,2008-2012,Census Tract,Built Environment,"Estimated, for a typical single-parent household earning 50% of the regional median income.",Department of Housing and Urban Development / Department of Transportation,
Annual public transit trips,,2008-2012,Census Tract,Built Environment,"Estimated, for a typical single-parent household earning 50% of the regional median income.",Department of Housing and Urban Development / Department of Transportation,
"Children with high blood lead levels, 2013",% of children <6,2013,Census Tract,Built Environment,"Percent of children tested. Children with blood lead levels of 6 micrograms/dL or greater. According to the CDC, no level of lead in the blood is safe for children, but special attention should be paid when levels are above 5 micrograms/dL.",Chicago Department of Public Health via the Chicago Tribune,
"Children with high blood lead levels, 2009-2013",% of children <6,2009-2013,Census Tract,Built Environment,"Percent of children tested. Children with blood lead levels of 6 micrograms/dL or greater. According to the CDC, no level of lead in the blood is safe for children, but special attention should be paid when levels are above 5 micrograms/dL.",Chicago Department of Public Health via the Chicago Tribune,
"Children with high blood lead levels, 1995-1999",% of children <6,1995-1999,Census Tract,Built Environment,"Percent of children tested. Children with blood lead levels of 6 micrograms/dL or greater. According to the CDC, no level of lead in the blood is safe for children, but special attention should be paid when levels are above 5 micrograms/dL.",Chicago Department of Public Health via the Chicago Tribune,
Environmental Health Hazard Index,Percentile,2005,Census Tract,Environment,"The environmental health hazard exposure index summarizes potential exposure to harmful toxins at a neighborhood level, as a linear combination of standardized EPA estimates of air quality carcinogenic, respiratory, and neurological hazards. Values range from 0 to 100 and are national percentile ranks. The higher the index value, the less exposure to toxins harmful to human health. Therefore, the higher the value, the better the environmental quality of a neighborhood.",Department of Housing and Urban Development / National Air Toxics Assessment,
Respiratory hazard index,,2011,Census Tract,Environment,"Ratio of total respiratory hazard from all sources and all air pollutants to the level of pollutants at which no adverse outcomes are expected. An index value above 1 indicates an added respiratory hazard from air pollutants, and higher index values indicate increased hazard. However, no specific likelihood of adverse effects is implied by index values above 1, and the index should not be interpreted as proportional to risk. Two areas with the same hazard index could have very different air pollution profiles and risks of respiratory outcomes, depending on the relative concentrations of pollutants in the air and how they interact. ","Environmental Protection Agency, National Air Toxics Assessment",https://www.epa.gov/national-air-toxics-assessment/2011-nata-technical-support-document
Gasoline respiratory hazard index,,2011,Census Tract,Environment,"Index of respiratory hazard from mobile gasoline emitters like cars and trucks, relative to the level of gasoline-based pollutants at which no adverse outcomes are expected. An index value above 1 indicates an added respiratory hazard, and higher index values indicate increased hazard. However, no specific likelihood of adverse effects is implied by index values above 1, and the index should not be interpreted as proportional to risk. Values below 1 generally indicate no added respiratory risk from mobile gasoline emitters.","Environmental Protection Agency, National Air Toxics Assessment",https://www.epa.gov/national-air-toxics-assessment/2011-nata-technical-support-document
Diesel respiratory hazard index,,2011,Census Tract,Environment,"Index of respiratory hazard from mobile diesel emitters like cars and trucks, relative to the level of gasoline-based pollutants at which no adverse outcomes are expected. An index value above 1 indicates an added respiratory hazard, and higher index values indicate increased hazard. However, no specific likelihood of adverse effects is implied by index values above 1, and the index should not be interpreted as proportional to risk. Values below 1 generally indicate no added respiratory risk from mobile diesel emitters.","Environmental Protection Agency, National Air Toxics Assessment",https://www.epa.gov/national-air-toxics-assessment/2011-nata-technical-support-document
Environmental cancer risk,yearly cases per million residents,2011,Census Tract,Environment,"The added number of cancer cases attributable to outdoor air pollutants, per million residents, per year. For instance, a value of 1 indicates that, on average, every resident of this area has a 1 in 1 million chance of contracting cancer each year due to environmental pollutants in concentrations above generally safe levels. Note that this is the added risk due to high concentrations of pollutants, not the total risk due to environmental pollutants.","Environmental Protection Agency, National Air Toxics Assessment",https://www.epa.gov/national-air-toxics-assessment/2011-nata-technical-support-document
"1,3-Butadiene concentration",ug/m3,2011,Census Tract,Environment,Estimated concentration in outdoor air. The Integrated Risk Information System sets the reference concentration (beyond which there may be negative health effects) at 2 ug/m3. Actual exposure may be somewhat less than ambient concentration.,"Environmental Protection Agency, National Air Toxics Assessment",
Acetaldehyde concentration,ug/m3,2011,Census Tract,Environment,Estimated concentration in outdoor air. The Integrated Risk Information System sets the reference concentration (beyond which there may be negative health effects) at 9 ug/m3. Actual exposure may be somewhat less than ambient concentration.,"Environmental Protection Agency, National Air Toxics Assessment",
Acrolein concentration,ug/m3,2011,Census Tract,Environment,Estimated concentration in outdoor air. The Integrated Risk Information System sets the reference concentration (beyond which there may be negative health effects) at 0.02 ug/m3. Actual exposure may be somewhat less than ambient concentration.,"Environmental Protection Agency, National Air Toxics Assessment",
Benzene concentration,ug/m3,2011,Census Tract,Environment,Estimated concentration in outdoor air. The Integrated Risk Information System sets the reference concentration (beyond which there may be negative health effects) at 30 ug/m3. Actual exposure may be somewhat less than ambient concentration.,"Environmental Protection Agency, National Air Toxics Assessment",
Cyanide compounds concentration,ug/m3,2011,Census Tract,Environment,Estimated concentration in outdoor air. The Integrated Risk Information System sets the reference concentration (beyond which there may be negative health effects) at 0.8 ug/m3. Actual exposure may be somewhat less than ambient concentration.,"Environmental Protection Agency, National Air Toxics Assessment",
Diesel PM concentration,ug/m3,2011,Census Tract,Environment,Estimated concentration in outdoor air of particulate matter from diesel. The Integrated Risk Information System sets the reference concentration (beyond which there may be negative health effects) at 5 ug/m3. Actual exposure may be somewhat less than ambient concentration.,"Environmental Protection Agency, National Air Toxics Assessment",
Formaldehyde concentration,ug/m3,2011,Census Tract,Environment,Estimated concentration in outdoor air. The Agency for Toxic Substances and Disease Registry sets the reference concentration (beyond which there may be negative health effects) at 9.8 ug/m3. Actual exposure may be somewhat less than ambient concentration.,"Environmental Protection Agency, National Air Toxics Assessment",
Naphthalene concentration,ug/m3,2011,Census Tract,Environment,Estimated concentration in outdoor air. The Integrated Risk Information System sets the reference concentration (beyond which there may be negative health effects) at 3 ug/m3. Actual exposure may be somewhat less than ambient concentration.,"Environmental Protection Agency, National Air Toxics Assessment",
Trichloroethylene concentration,ug/m3,2011,Census Tract,Environment,Estimated concentration in outdoor air. The Integrated Risk Information System sets the reference concentration (beyond which there may be negative health effects) at 2 ug/m3. Actual exposure may be somewhat less than ambient concentration.,"Environmental Protection Agency, National Air Toxics Assessment",
Traffic intensity,Vehicles,2011,Census Tract,Environment,"A measure of proximity to heavy traffic, defined as the average annual daily traffic at major roads within 500 meters, divided by distance in meters. Higher values indicate higher exposure to heavy traffic.","Environmental Protection Agency EJSCREEN, US DOT",
Proximity to major water discharges,Sites,2013,Census Tract,Environment,"A measure of proximity to water polluters, defined as the count of National Pollutant Discharge Elimination System major facilities within 5km (or the closest one further than 5km), each divided by distance in km. Higher values indicate closer proximity to major sites.",Environmental Protection Agency,
Proximity to Superfund sites,Sites,2013,Census Tract,Environment,"A measure of proximity to Superfund (toxic waste) sites, defined as the count of proposed and listed National Priorities List sites within 5km (or the closest one further than 5km), each divided by distance in km. Higher values indicate closer proximity to major sites.",Environmental Protection Agency,
Proximity to potential chemical accident sites,Sites,2013,Census Tract,Environment,"A measure of proximity to potential chemical accidents, defined as the count of proposed and listed RMP (potential chemical accident management plan) sites within 5km (or the closest one further than 5km), each divided by distance in km. Higher values indicate closer proximity to major sites.",Environmental Protection Agency,
Proximity to hazardous waste management sites,Sites,2013,Census Tract,Environment,"A measure of proximity to hazardous waste management sites, defined as the count of hazardous waste Treatment, Storage, and Disposal Facilities within 5km (or the closest one further than 5km), each divided by distance in km. Higher values indicate closer proximity to major sites.",Environmental Protection Agency,
Ozone,ppb,2011,Census Tract,Environment,"Summer seasonal daily average, maximum 8-hour concentration in air.",Environmental Protection Agency,
Particulate matter (PM 2.5),ug/m3,2011,Census Tract,Environment,"Annual average. PM 2.5, or particulate matter smaller than 2.5 microns in diameter, is one of the most dangerous pollutants because the particles can penetrate deep into the alveoli of the lungs.",Environmental Protection Agency,
Vulnerable Demographic Index,Percentile,2015,Census Tract,Environment,"Index of vulnerable populations, a composite of low-income, minority, age <5, age 65+, below high school education, and linguistically isolated individuals. The index is constructed using national statistics as benchmarks, and thus represents the degree to which this area has a higher proportion of vulnerable residents than the nation as a whole. Reported as a percentile rank within Illinois, where 0 = lowest percentage of vulnerable residents, and 100 = highest percentage of vulnerable residents.",Environmental Protection Agency EJSCREEN,
Diesel PM Environmental Justice Index,Percentile,2015,Census Tract,Environment,"Index of exposure to diesel particulate matter, weighted by vulnerability of the population (reported as a percentile within Illinois, where 0 = lowest exposure, and 100 = highest vulnerability). Weighting by the vulnerability of residents can provide a better estimate of the disproportionate impact of environmental hazards.",Environmental Protection Agency EJSCREEN,
Cancer Environmental Justice Index,Percentile,2015,Census Tract,Environment,"Index of exposure to cancer-causing air pollutants, weighted by vulnerability of the population (reported as a percentile within Illinois, where 0 = lowest exposure, and 100 = highest vulnerability). Weighting by the vulnerability of residents can provide a better estimate of the disproportionate impact of environmental hazards.",Environmental Protection Agency EJSCREEN,
Respiratory Hazard Environmental Justice Index,Percentile,2015,Census Tract,Environment,"Index of exposure to outdoor respiratory hazards, weighted by vulnerability of the population (reported as a percentile within Illinois, where 0 = lowest exposure, and 100 = highest vulnerability). Weighting by the vulnerability of residents can provide a better estimate of the disproportionate impact of environmental hazards.",Environmental Protection Agency EJSCREEN,
Traffic Environmental Justice Index,Percentile,2015,Census Tract,Environment,"Index of exposure to traffic, weighted by vulnerability of the population (reported as a percentile within Illinois, where 0 = lowest exposure, and 100 = highest vulnerability). Weighting by the vulnerability of residents can provide a better estimate of the disproportionate impact of environmental hazards.",Environmental Protection Agency EJSCREEN,
